candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
9,thickness_grids_L5000mm.csv,85,56,148,5.0,1.49,1.5482194495743435,0.0582194495743435,34.8732492511735,34.8732492511735,8.582058585323951,1.1285842452117438,1652.1032897621678,1652.1032897621678,137.26292903329454,750.0000000000001,384744.0634220927,2753.5054829369465,True,0.0830837453589566,384.7440634220927,307.79525073767417,0.12858424521174383,0.12858424521174383,1.0,0.25,pareto,closest
10,thickness_grids_L5000mm.csv,84,56,147,5.0,1.48,1.5382194495743435,0.0582194495743435,34.40672274211541,34.40672274211541,8.611003215845233,1.1646137073783769,1650.276200606445,1650.276200606445,137.48199987762072,750.0000000000001,383245.2136114642,2750.460334344075,True,0.0833084788031838,383.2452136114642,306.59617088917133,0.16461370737837688,0.16461370737837688,1.0,0.25,pareto,closest
11,thickness_grids_L5000mm.csv,83,55,149,5.0,1.5,1.5562295392099454,0.0562295392099454,35.34291735288517,35.34291735288517,8.405957584872858,1.1726934555935036,1663.315806350251,1663.3158063502513,139.427224306496,750.0000000000001,377130.7868023318,2772.1930105837523,True,0.0838248658337683,377.1307868023318,301.70462944186545,0.17269345559350358,0.17269345559350358,1.0,0.25,pareto,closest
12,thickness_grids_L5000mm.csv,82,55,148,5.0,1.49,1.5462295392099454,0.0562295392099454,34.8732492511735,34.8732492511735,8.434118325679252,1.2098767318015533,1661.5115791402764,1661.5115791402764,139.64592531985647,750.0,375658.00539261417,2769.185965233794,True,0.0840475185807095,375.65800539261414,300.52640431409134,0.2098767318015533,0.2098767318015533,1.0,0.25,pareto,closest
13,thickness_grids_L5000mm.csv,81,55,147,5.0,1.48,1.5362295392099454,0.0562295392099454,34.40672274211541,34.40672274211541,8.46256399943951,1.2485014141145303,1659.693450286769,1659.693450286769,139.8688736338415,749.9999999999998,374188.7596390644,2766.155750477948,True,0.0842739203493719,374.1887596390644,299.35100771125155,0.2485014141145303,0.2485014141145303,1.0,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,62,48,149,5.0,1.5,1.5433040854015585,0.0433040854015584,35.34291735288517,35.34291735288517,7.376823071430174,1.9772237091204063,1732.338700843614,1732.3387008436143,158.69594500409715,750.0000000000003,316064.6085724174,2887.2311680726907,True,0.0916079199332182,316.0646085724174,252.8516868579339,-0.022776290879593653,0.022776290879593653,2.0,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,61,48,148,5.0,1.49,1.5333040854015585,0.0433040854015584,34.8732492511735,34.8732492511735,7.401536115767086,2.0399166958942794,1730.6074850808898,1730.6074850808898,158.94541430402202,750.0,314795.6722213648,2884.3458084681497,True,0.0918437113408144,314.7956722213648,251.83653777709185,0.039916695894279375,0.039916695894279375,2.0,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,63,49,147,5.0,1.48,1.5250430160803568,0.0450430160803567,34.40672274211541,34.40672274211541,7.574141867731995,1.9456430245377796,1718.6209617513632,1718.6209617513632,156.12044041007292,750.0000000000001,321904.0540408469,2864.3682695856055,True,0.0908405308003331,321.90405404084686,257.5232432326775,-0.0543569754622204,0.0543569754622204,2.0,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,60,48,147,5.0,1.48,1.5233040854015585,0.0433040854015584,34.40672274211541,34.40672274211541,7.426499208949315,2.105039970235236,1728.8626006363552,1728.8626006363554,159.1997277783345,749.9999999999999,313529.6699481411,2881.437667727259,True,0.0920835049122681,313.5296699481411,250.82373595851288,0.10503997023523581,0.10503997023523581,2.0,0.25,pareto,closest
4,thickness_grids_L5000mm.csv,64,49,148,5.0,1.49,1.5350430160803568,0.0450430160803567,34.8732492511735,34.8732492511735,7.548682495300932,1.885450987213955,1720.3775183381915,1720.3775183381915,155.87111921271642,749.9999999999998,323198.6512307896,2867.2958638969862,True,0.0906028575421521,323.1986512307896,258.5589209846317,-0.1145490127860449,0.1145490127860449,2.0,0.25,pareto,closest
5,thickness_grids_L5000mm.csv,59,47,149,5.0,1.5,1.54160100896356,0.0416010089635602,35.34291735288517,35.34291735288517,7.230309098284627,2.1424259642044703,1742.6809479790952,1742.680947979095,161.8872285170989,750.0000000000002,307729.71803305874,2904.468246631825,True,0.0928955060332942,307.72971803305876,246.183774426447,0.1424259642044703,0.1424259642044703,2.0,0.25,pareto,closest
6,thickness_grids_L5000mm.csv,65,49,149,5.0,1.5,1.5450430160803568,0.0450430160803567,35.34291735288517,35.34291735288517,7.523478142816014,1.8275052122506448,1722.1203637102192,1722.1203637102192,155.6265471862831,750.0000000000001,324496.2645693537,2870.2006061836987,True,0.0903691463533906,324.49626456935374,259.59701165548296,-0.17249478774935523,0.17249478774935523,2.0,0.25,pareto,closest
